id_gares;nom_gares;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto
1153;Robert Schuman;TRAM 7;7;TRAMWAY;0;0;0;0;0;RATP;1;0;652418.3098;6849800.9178;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
1163;Parc André Malraux;TRAM 6;6;TRAMWAY;0;0;0;0;0;RATP;1;0;647257.464;6855774.0984;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697
404;La Plaine-Stade de France;RER B;B;RER;0;0;0;0;0;SNCF;1;0;653277.7337;6868857.3799;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
1025;Chartres;GL;GL;TRAIN;GL;0;0;0;0;SNCF;0;0;587619.0936;6817502.353;
1069;Château-Thierry;TRAIN P;P;TRAIN;TRAIN P;0;0;0;0;SNCF;0;0;729938.7108;6882080.9078;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e
1045;Joigny;GL;GL;TRAIN;0;0;0;0;0;SNCF;0;0;729347.1803;6763776.6395;
227;Crimée;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;654325.3614;6865835.2112;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
373;Jaurès;METRO 2;2;METRO;0;0;0;0;0;RATP;1;0;653816.2313;6864807.0306;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1
1072;Créteil - Pointe du Lac;METRO 8;8;METRO;0;0;METRO 8;0;0;RATP;1;0;660626.3001;6852212.5077;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51
907;Villiers;METRO 2;2;METRO;0;0;0;0;0;RATP;1;0;649742.7839;6864782.058;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1
1853;Serge Gainsbourg;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;657990.7676;6864740.9959;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94
643;Pierrefitte Stains;RER D;D;RER;0;0;0;0;0;SNCF;1;0;654024.0938;6873938.8178;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54
6;Achères-Ville;RER A;A;RER;0;0;0;0;0;SNCF;1;0;632479.4115;6874918.7325;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a
31;Athis-Mons;RER C;C;RER;0;0;0;0;0;SNCF;1;0;656121.8463;6845998.1467;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c
281;Faremoutiers-Pommeuse;TRAIN P;P;TRAIN;0;0;0;0;0;SNCF;1;0;699493.9819;6856509.0652;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e
507;Mantes-la-Jolie;TRAIN J;J;TRAIN;TRAIN J;0;0;0;0;SNCF;1;1;605082.4575;6877398.8262;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751
537;Méry-sur-Oise;TRAIN H;H;TRAIN;0;0;0;0;0;SNCF;1;0;640889.0828;6884545.0788;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79
427;Le Bourget;RER B;B;RER;0;0;0;0;0;SNCF;1;0;657928.49;6870237.4878;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
782;Sannois;TRAIN J;J;TRAIN;0;0;0;0;0;SNCF;1;0;646103.8607;6874811.5712;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751
